"estacion";"id_estacion";"Date";"Max_TemperatureC";"Mean_TemperatureC";"Min_TemperatureC";"Max_Wind_SpeedKm_h";"Mean_Wind_SpeedKm_h";"WindDirDegrees";"Precipitationmm";"CloudCover";"Mean_Humidity";"Events";"Fog";"Hail";"Rain";"Snow";"Thunderstorm";"Tornado"
"ALICANTE";"LEAL";2016-01-01;19;14;9;8;3;53;0;2;81;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-02;19;13;8;37;11;289;0;2;63;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-03;18;13;9;21;11;239;0;2;55;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-04;21;17;12;19;8;228;0;1;58;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-05;19;14;10;39;16;279;0;1;41;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-06;16;12;9;35;16;264;0;1;39;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-07;22;17;11;45;23;248;0;1;41;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-08;22;16;9;16;10;231;0;1;64;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-09;23;17;10;26;8;247;0;1;50;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-10;19;13;7;24;8;228;0;NA;57;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-11;21;16;10;35;10;248;0;2;47;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-12;18;13;9;35;16;288;0;1;39;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-13;18;12;6;21;11;284;0;NA;53;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-14;18;11;4;23;10;252;0;3;60;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-15;13;11;8;24;11;10;5.08;5;74;"Rain";FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-16;14;10;5;39;14;302;0;1;38;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-17;14;8;1;21;11;258;0;NA;48;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-18;21;13;6;39;16;259;0;1;40;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"ALICANTE";"LEAL";2016-01-19;18;13;9;26;11;277;0;2;49;"";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
