"ts_dato";"precio_kwh"
2016-01-01 00:00:00;0.11632
2016-01-01 01:00:00;0.11068
2016-01-01 02:00:00;0.10693
2016-01-01 03:00:00;0.10222
2016-01-01 04:00:00;0.10132
2016-01-01 05:00:00;0.09981
2016-01-01 06:00:00;0.09468
2016-01-01 07:00:00;0.09215
2016-01-01 08:00:00;0.08875
2016-01-01 09:00:00;0.08931
2016-01-01 10:00:00;0.092
2016-01-01 11:00:00;0.09456
2016-01-01 12:00:00;0.09468
2016-01-01 13:00:00;0.09629
2016-01-01 14:00:00;0.09362
2016-01-01 15:00:00;0.08829
2016-01-01 16:00:00;0.08749
2016-01-01 17:00:00;0.0947
2016-01-01 18:00:00;0.10323
2016-01-01 19:00:00;0.10527
2016-01-01 20:00:00;0.1006
2016-01-01 21:00:00;0.09438
2016-01-01 22:00:00;0.09475
2016-01-01 23:00:00;0.08985
2016-01-02 00:00:00;0.09133
2016-01-02 01:00:00;0.08521
2016-01-02 02:00:00;0.08508
2016-01-02 03:00:00;0.08346
2016-01-02 04:00:00;0.07965
2016-01-02 05:00:00;0.07997
2016-01-02 06:00:00;0.07928
2016-01-02 07:00:00;0.07925
2016-01-02 08:00:00;0.08287
2016-01-02 09:00:00;0.09065
2016-01-02 10:00:00;0.10003
2016-01-02 11:00:00;0.10007
2016-01-02 12:00:00;0.09343
2016-01-02 13:00:00;0.09589
2016-01-02 14:00:00;0.09721
2016-01-02 15:00:00;0.09548
2016-01-02 16:00:00;0.09944
2016-01-02 17:00:00;0.10817
2016-01-02 18:00:00;0.11102
2016-01-02 19:00:00;0.1219
2016-01-02 20:00:00;0.12737
2016-01-02 21:00:00;0.12987
2016-01-02 22:00:00;0.12128
2016-01-02 23:00:00;0.10967
2016-01-03 00:00:00;0.10109
2016-01-03 01:00:00;0.0907
2016-01-03 02:00:00;0.08478
2016-01-03 03:00:00;0.081
2016-01-03 04:00:00;0.07703
2016-01-03 05:00:00;0.07914
2016-01-03 06:00:00;0.07212
2016-01-03 07:00:00;0.07401
2016-01-03 08:00:00;0.07832
2016-01-03 09:00:00;0.08414
2016-01-03 10:00:00;0.08425
2016-01-03 11:00:00;0.08629
2016-01-03 12:00:00;0.08688
2016-01-03 13:00:00;0.08721
2016-01-03 14:00:00;0.08548
