equipo_id,pais_id,nombre
1,64,Real Zaragoza
2,64,Real Madrid
3,64,Real Sociedad
4,64,Real Betis Balompié
5,64,Fútbol Club Barcelona
6,64,Atlético de Madrid
7,64,Athletic Club de Bilbao
8,64,Valencia Club de Fútbol
9,64,Sevilla Fútbol Club
10,64,Real Club Deportivo de la Coruña
11,64,Real Club Deportivo Español de Barcelona
12,64,Real Unión Club de Irún
13,64,Arenas Club de Guecho
14,64,Vizcaya
15,64,Vigo Sporting
16,64,Club Ciclista de San Sebastián
17,64,Basconia
18,64,Club Español de Madrid
19,64,Gimnástica
20,64,España
21,64,Europa
22,64,Sabadell
23,64,Racing Club de Ferrol
24,64,Real Club Celta de Vigo
25,64,Real Valladolid
26,64,Granada
27,64,Elche
28,64,Club Deportivo Castellón
29,64,Unión Deportiva Las Palmas
30,64,Castilla Club de Fútbol
31,64,Sporting de Gijón
32,64,Real Club Deportivo Mallorca
33,64,Real Club Recreativo de Huelva
34,64,Club Atlético Osasuna
35,64,Getafe Club de Fútbol
36,64,Racing de Irún
37,64,Racing de Santander
38,64,Atlético Aviación
39,64,Villareal Club de Fútbol
40,106,A.C.F. Fiorentina
41,61,Glasgow Rangers
42,158,Sporting de Lisboa
43,89,MTK Budapest
44,92,West Ham United
45,3,TSV Munich
46,3,Borussia Dortmund
47,92,Liverpool
48,3,Bayern Munich
49,106,A.C. Milan
50,3,Hamburgo SV
51,161,Slovan Bratislava
52,157,Górnik Zabrze
53,92,Chelsea
54,167,Dinamo Moscú
55,92,Leeds United
56,3,F.C. Magdeburgo
57,201,Dinamo Kiev
58,89,Ferencváros
59,20,Anderlecht
60,14,Austria Viena
61,3,Fortuna Düsseldorf
62,92,Arsenal
63,167,Dinamo Tbilisi
64,3,Carl Zeiss Jena
65,20,Standard Lieja
66,61,Aberdeen
67,106,Juventus
68,158,Oporto
69,92,Everton
70,14,Rapid Viena
71,150,Ajax
72,3,Lokomotiv Leipzi
73,20,K.V. Mechelen
74,106,Sampdoria
75,92,Manchester United
76,3,Werder Bremen
77,71,A.S. Mónaco
78,106,Parma
79,20,Amberes
80,71,París Saint-Germain
81,3,VfB Stuttgart
82,106,Lazio
