temporada_id,fecha_inicio_fin
1,1904-1905
2,1905-1906
3,1906-1907
4,1907-1908
5,1908-1909
6,1909-1910
7,1910-1911
8,1911-1912
9,1912-1913
10,1913-1914
11,1914-1915
12,1915-1916
13,1916-1917
14,1917-1918
15,1918-1919
16,1919-1920
17,1920-1921
18,1921-1922
19,1922-1923
20,1923-1924
21,1924-1925
22,1925-1926
23,1926-1927
24,1927-1928
25,1928-1929
26,1929-1930
27,1930-1931
28,1931-1932
29,1932-1933
30,1933-1934
31,1934-1935
32,1935-1936
33,1938-1939
34,1939-1940
35,1940-1941
36,1941-1942
37,1942-1943
38,1943-1944
39,1944-1945
40,1945-1946
41,1946-1947
42,1947-1948
43,1948-1949
44,1949-1950
45,1950-1951
46,1951-1952
47,1952-1953
48,1953-1954
49,1954-1955
50,1955-1956
51,1956-1957
52,1957-1958
53,1958-1959
54,1959-1960
55,1960-1961
56,1961-1962
57,1962-1963
58,1963-1964
59,1964-1965
60,1965-1966
61,1966-1967
62,1967-1968
63,1968-1969
64,1969-1970
65,1970-1971
66,1971-1972
67,1972-1973
68,1973-1974
69,1974-1975
70,1975-1976
71,1976-1977
72,1977-1978
73,1978-1979
74,1979-1980
75,1980-1981
76,1981-1982
77,1982-1983
78,1983-1984
79,1984-1985
80,1985-1986
81,1986-1987
82,1987-1988
83,1988-1989
84,1989-1990
85,1990-1991
86,1991-1992
87,1992-1993
88,1993-1994
89,1994-1995
90,1995-1996
91,1996-1997
92,1997-1998
93,1998-1999
94,1999-2000
95,2000-2001
96,2001-2002
97,2002-2003
98,2003-2004
99,2004-2005
100,2005-2006
101,2006-2007
102,2007-2008
103,2008-2009
104,2009-2010
105,2010-2011
