SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,2544,0022401185,"Apr 11, 2025",LAL vs. HOU,W,22,6,11,0.545,1,4,0.25,1,1,1.0,0,4,4,8,1,0,1,1,14,5,1
22024,2544,0022401159,"Apr 09, 2025",LAL @ DAL,W,36,11,20,0.55,0,4,0.0,5,6,0.833,2,5,7,3,1,0,2,2,27,18,1
22024,2544,0022401153,"Apr 08, 2025",LAL @ OKC,L,35,8,19,0.421,3,6,0.5,9,10,0.9,0,7,7,3,1,0,6,1,28,-23,1
22024,2544,0022401135,"Apr 06, 2025",LAL @ OKC,W,34,9,16,0.563,1,1,1.0,0,0,0.0,2,1,3,7,1,0,2,0,19,7,1
22024,2544,0022401126,"Apr 04, 2025",LAL vs. NOP,W,33,9,17,0.529,2,7,0.286,7,8,0.875,0,0,0,8,2,0,1,1,27,7,1
22024,2544,0022401117,"Apr 03, 2025",LAL vs. GSW,L,40,10,15,0.667,5,8,0.625,8,9,0.889,1,4,5,9,1,1,4,2,33,-1,1
22024,2544,0022401096,"Mar 31, 2025",LAL vs. HOU,W,38,5,12,0.417,2,4,0.5,4,4,1.0,0,8,8,4,2,2,3,1,16,9,1
22024,2544,0022401078,"Mar 29, 2025",LAL @ MEM,W,37,10,21,0.476,2,5,0.4,3,4,0.75,1,5,6,8,3,1,3,3,25,-1,1
22024,2544,0022401063,"Mar 27, 2025",LAL @ CHI,L,39,8,20,0.4,0,5,0.0,1,2,0.5,1,4,5,12,2,0,4,1,17,-10,1
22024,2544,0022401055,"Mar 26, 2025",LAL @ IND,W,38,4,12,0.333,0,3,0.0,5,5,1.0,3,10,13,7,1,0,1,1,13,5,1
22024,2544,0022401038,"Mar 24, 2025",LAL @ ORL,L,38,9,18,0.5,0,3,0.0,6,7,0.857,3,3,6,7,0,0,2,0,24,-17,1
22024,2544,0022401028,"Mar 22, 2025",LAL vs. CHI,L,31,7,16,0.438,1,2,0.5,2,5,0.4,0,6,6,4,3,0,5,1,17,-27,1
22024,2544,0022400918,"Mar 08, 2025",LAL @ BOS,L,35,11,23,0.478,0,6,0.0,0,3,0.0,2,12,14,9,0,0,1,3,22,-11,1
22024,2544,0022400903,"Mar 06, 2025",LAL vs. NYK,W,44,11,23,0.478,2,8,0.25,7,8,0.875,1,11,12,8,0,1,1,3,31,4,1
22024,2544,0022400890,"Mar 04, 2025",LAL vs. NOP,W,33,10,18,0.556,5,10,0.5,9,9,1.0,1,7,8,6,1,2,4,1,34,7,1
22024,2544,0022400874,"Mar 02, 2025",LAL vs. LAC,W,36,6,17,0.353,1,6,0.167,4,4,1.0,1,4,5,9,2,1,8,2,17,-5,1
22024,2544,0022400859,"Feb 28, 2025",LAL vs. LAC,W,37,12,21,0.571,2,7,0.286,2,3,0.667,1,12,13,3,1,0,4,0,28,-1,1
22024,2544,0022400849,"Feb 27, 2025",LAL vs. MIN,W,37,11,21,0.524,4,9,0.444,7,10,0.7,5,12,17,6,1,1,4,1,33,12,1
22024,2544,0022400835,"Feb 25, 2025",LAL vs. DAL,W,37,11,17,0.647,2,4,0.5,3,4,0.75,3,9,12,3,1,0,6,2,27,-5,1
22024,2544,0022400808,"Feb 22, 2025",LAL @ DEN,W,33,11,19,0.579,1,4,0.25,2,3,0.667,2,7,9,5,1,3,1,2,25,9,1
22024,2544,0022400796,"Feb 20, 2025",LAL @ POR,W,36,14,24,0.583,4,8,0.5,8,8,1.0,0,8,8,4,2,1,11,2,40,8,1
22024,2544,0022400524,"Feb 19, 2025",LAL vs. CHA,L,38,10,22,0.455,4,11,0.364,2,2,1.0,1,6,7,11,1,2,2,0,26,-4,1
22024,2544,0022400781,"Feb 12, 2025",LAL @ UTA,L,34,6,13,0.462,4,8,0.5,2,4,0.5,1,5,6,7,1,0,3,3,18,-10,1
22024,2544,0022400768,"Feb 10, 2025",LAL vs. UTA,W,29,10,17,0.588,3,7,0.429,1,2,0.5,1,6,7,8,1,0,7,2,24,24,1
22024,2544,0022400731,"Feb 06, 2025",LAL vs. GSW,W,38,14,25,0.56,6,9,0.667,8,10,0.8,1,16,17,8,1,1,3,1,42,7,1
22024,2544,0022400715,"Feb 04, 2025",LAL @ LAC,W,31,8,13,0.615,2,4,0.5,8,11,0.727,0,8,8,9,3,0,3,4,26,19,1
22024,2544,0022400692,"Feb 01, 2025",LAL @ NYK,W,37,14,26,0.538,3,8,0.375,2,4,0.5,0,11,11,12,0,0,5,3,33,12,1
22024,2544,0022400674,"Jan 30, 2025",LAL @ WAS,W,27,9,19,0.474,1,4,0.25,5,5,1.0,0,3,3,11,0,0,0,1,24,29,1
22024,2544,0022400660,"Jan 28, 2025",LAL @ PHI,L,33,10,16,0.625,1,4,0.25,10,11,0.909,1,7,8,9,1,0,8,1,31,-11,1
22024,2544,0022400648,"Jan 27, 2025",LAL @ CHA,W,36,9,17,0.529,1,8,0.125,3,5,0.6,0,7,7,8,0,0,5,0,22,-1,1
22024,2544,0022400644,"Jan 25, 2025",LAL @ GSW,W,35,12,25,0.48,0,1,0.0,1,2,0.5,1,4,5,12,1,0,3,0,25,11,1
22024,2544,0022400629,"Jan 23, 2025",LAL vs. BOS,W,31,9,20,0.45,0,2,0.0,2,2,1.0,3,11,14,6,0,0,2,0,20,7,1
22024,2544,0022400610,"Jan 21, 2025",LAL vs. WAS,W,36,8,18,0.444,2,6,0.333,3,3,1.0,0,10,10,13,2,1,5,0,21,19,1
22024,2544,0022400596,"Jan 19, 2025",LAL @ LAC,L,35,9,20,0.45,2,6,0.333,5,6,0.833,2,3,5,11,3,1,5,3,25,-3,1
22024,2544,0022400585,"Jan 17, 2025",LAL vs. BKN,W,35,12,17,0.706,4,6,0.667,1,2,0.5,1,6,7,8,1,2,5,2,29,-11,1
22024,2544,0022400570,"Jan 15, 2025",LAL vs. MIA,W,38,9,15,0.6,3,6,0.5,1,2,0.5,1,4,5,9,2,0,2,0,22,14,1
22024,2544,0022400552,"Jan 13, 2025",LAL vs. SAS,L,32,7,11,0.636,2,3,0.667,2,4,0.5,1,4,5,8,1,1,7,3,18,-15,1
